description	filename	checksum
umich-pdac-proteomics	umich-pdac-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	a8c89b796b8ddacd48609e8ca7aac676
umich-ucec-acetylproteomics	umich-ucec-acetylproteomics-abundance_multi-site_MD.tsv.gz	32662a5359d097fe6668b77ac8185c4d
umich-ucec-acetylproteomics	umich-ucec-acetylproteomics-abundance_single-site_MD.tsv.gz	114134bd5fbecb05596a94687df9e485
umich-ucec-mapping	umich-ucec-mapping-aliquot_to_patient_ID.tsv.gz	5efbf2e09214bf6986904705a2c852bf
umich-ucec-phosphoproteomics	umich-ucec-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	41b8b311c42c378d1fe83a7f82926515
umich-ucec-proteomics	umich-ucec-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	a9ac7babc4f87d2f20b60c0d9eccec6a
version.txt	version.txt	35c36e89ef751b74c7aa3b07d7e0f6b6
washu-all_cancers-hla_typing	washu-all_cancers-hla_typing-hla.sample.ct.10152021.sort.tsv.gz	47078557a8e9d29d25b84380a3d9ba34
washu-all_cancers-tumor_purity	washu-all_cancers-tumor_purity-CPTAC_pancan_RNA_tumor_purity_ESTIMATE_WashU.tsv.gz	0f1712c6582fe155763411f7971acc05
washu-brca-cibersort	washu-brca-cibersort-CIBERSORT.Output_Abs_BR.txt.gz	c7515754246660ca34faa8a42f00aa5e
washu-brca-CNV	washu-brca-CNV-BR.gene_level.from_seg.filtered.tsv.gz	8c421a5419063ff6f5d5193102b4d273
washu-brca-mapping	washu-brca-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-brca-transcriptomics	washu-brca-transcriptomics-BR_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	2ffb676c554a828d6e84040f55be63a8
washu-brca-xcell	washu-brca-xcell-BR_xCell.txt.gz	54c185b5e96e98324550a6b017e24b28
washu-ccrcc-cibersort	washu-ccrcc-cibersort-CIBERSORT.Output_Abs_ccRCC.txt.gz	a947bcce5de006e251e8d48c0aa24680
washu-ccrcc-CNV	washu-ccrcc-CNV-ccRCC.gene_level.from_seg.filtered.tsv.gz	b28b9151723929b9c870713e52a2929d
washu-ccrcc-mapping	washu-ccrcc-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-ccrcc-mature_miRNA	washu-ccrcc-mature_miRNA-ccRCC_mature_miRNA_combined.tsv.gz	5f29da05113b595ab1641d92f2f49c49
washu-ccrcc-precursor_miRNA	washu-ccrcc-precursor_miRNA-ccRCC_precursor_miRNA_combined.tsv.gz	2a588b816e7c675a69655b0f8dddbb72
washu-ccrcc-total_miRNA	washu-ccrcc-total_miRNA-ccRCC_total_miRNA_combined.tsv.gz	3d73c121f7cf7cda2bc8d147a693836b
washu-ccrcc-transcriptomics	washu-ccrcc-transcriptomics-ccRCC_NAT_RNA-Seq_Expr_WashU_FPKM.tsv.gz	afea7476a61661281d3291a150a0e7da
washu-ccrcc-transcriptomics	washu-ccrcc-transcriptomics-ccRCC_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	a4463000b858722dd70fb4007912b45e
washu-ccrcc-xcell	washu-ccrcc-xcell-ccRCC_xCell.txt.gz	6c747204c589c8ce83f6997619180b79
washu-coad-cibersort	washu-coad-cibersort-CIBERSORT.Output_Abs_CO.txt.gz	4e413cd46ba0241ba4010aeb8fcc079e
washu-coad-CNV	washu-coad-CNV-CO.gene_level.from_seg.filtered.tsv.gz	81cfbffb1d91630c4ac71512343d13ba
washu-coad-mapping	washu-coad-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-coad-somatic_mutation	washu-coad-somatic_mutation-CO_prospective.dnp.annotated.exonic.addrecovercases.maf.gz	3c9bfac2d797ab6a13279f759f284a98
washu-coad-transcriptomics	washu-coad-transcriptomics-CO_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	85d879f07b1de55313992adf19c1714a
washu-coad-xcell	washu-coad-xcell-CO_xCell.txt.gz	29d30a2ac7b7e19fd45ea2532e545219
washu-gbm-cibersort	washu-gbm-cibersort-CIBERSORT.Output_Abs_GBM.txt.gz	311ae929a45154695d2a09675954e88b
washu-gbm-CNV	washu-gbm-CNV-GBM.gene_level.from_seg.filtered.tsv.gz	4f6d845cdaee248e0745b2257bd047a2
washu-gbm-mapping	washu-gbm-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
