repeat,fold,feature_set,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
6,2,multi_ptm,91692,85,21,0.6085120207927226,0.4166666666666667,0.7083333333333333,0.6666666666666666
6,3,multi_ptm,91692,85,21,0.43738645857066916,-0.26967994498529685,0.3727272727272727,0.23529411764705882
6,4,multi_ptm,91692,85,21,0.5710524043857377,0.11322770341445958,0.5555555555555556,0.47058823529411764
7,0,phosphoproteome,72361,84,22,0.6457268170426065,0.4485426135725303,0.7166666666666667,0.6666666666666666
7,1,phosphoproteome,72361,85,21,0.5664954870837224,0.31137618438976383,0.6527777777777778,0.5882352941176471
7,2,phosphoproteome,72361,85,21,0.4007313571361559,-0.35527985620321373,0.32727272727272727,0.2222222222222222
7,3,phosphoproteome,72361,85,21,0.39542523352120873,-0.33636363636363636,0.3318181818181818,0.3
7,4,phosphoproteome,72361,85,21,0.5829890878910486,0.11322770341445958,0.5555555555555556,0.47058823529411764
7,0,multi_ptm,91692,84,22,0.5057954545454545,0.06900655593423542,0.5333333333333333,0.4444444444444444
7,1,multi_ptm,91692,85,21,0.5314993648326982,0.0,0.5,0.375
7,2,multi_ptm,91692,85,21,0.394188969784945,-0.24771684715343112,0.37727272727272726,0.3157894736842105
7,3,multi_ptm,91692,85,21,0.361541331475542,-0.4403855060505442,0.28181818181818186,0.21052631578947367
7,4,multi_ptm,91692,85,21,0.6249779541446208,0.4166666666666667,0.7083333333333333,0.6666666666666666
8,0,phosphoproteome,72361,85,21,0.5822089947089948,-0.05504818825631803,0.4722222222222222,0.42105263157894735
8,1,phosphoproteome,72361,84,22,0.4132326080352396,-0.12076147288491199,0.44166666666666665,0.3333333333333333
8,2,phosphoproteome,72361,85,21,0.5727512408472161,0.23636363636363636,0.6181818181818182,0.6
8,3,phosphoproteome,72361,85,21,0.4153432188726306,-0.3919647479510927,0.3227272727272727,0.125
8,4,phosphoproteome,72361,85,21,0.3574802390591864,-0.05504818825631803,0.4722222222222222,0.42105263157894735
8,0,multi_ptm,91692,85,21,0.5438580110406736,-0.16666666666666666,0.41666666666666663,0.3333333333333333
8,1,multi_ptm,91692,84,22,0.5001190476190476,0.16035674514745463,0.575,0.47058823529411764
8,2,multi_ptm,91692,85,21,0.5526360241066124,0.14545454545454545,0.5727272727272728,0.5714285714285714
8,3,multi_ptm,91692,85,21,0.39254078738598863,-0.47193990372426947,0.2772727272727273,0.11764705882352941
8,4,multi_ptm,91692,85,21,0.3701909373735999,-0.05504818825631803,0.4722222222222222,0.42105263157894735
9,0,phosphoproteome,72361,84,22,0.48438616938616935,0.16035674514745463,0.575,0.47058823529411764
9,1,phosphoproteome,72361,85,21,0.6761277302943969,0.13762047064079508,0.5694444444444444,0.5263157894736842
9,2,phosphoproteome,72361,85,21,0.5827856405720183,0.13762047064079508,0.5681818181818181,0.5263157894736842
9,3,phosphoproteome,72361,85,21,0.42170124385036667,0.05504818825631803,0.5277777777777778,0.5
9,4,phosphoproteome,72361,85,21,0.4905469968627863,0.023124864503144014,0.5090909090909091,0.2857142857142857
9,0,multi_ptm,91692,84,22,0.6170634920634921,0.25877458475338283,0.625,0.5555555555555556
9,1,multi_ptm,91692,85,21,0.6114739711230939,0.13762047064079508,0.5694444444444444,0.5263157894736842
9,2,multi_ptm,91692,85,21,0.4705297970003852,0.045454545454545456,0.5227272727272727,0.5
9,3,multi_ptm,91692,85,21,0.4080371869845554,-0.05504818825631803,0.4722222222222222,0.42105263157894735
9,4,multi_ptm,91692,85,21,0.5810298473456368,-0.11677484162422845,0.4590909090909091,0.15384615384615385
