repeat,fold,model,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
4,4,frozen_encoder_logistic,64,85,21,0.33340194568264747,-0.4812177395114532,0.2638888888888889,0.11764705882352941
5,0,raw_logistic,43647,84,22,0.3770585554796081,-0.2833333333333333,0.35833333333333334,0.3
5,0,pca_logistic,64,84,22,0.4335697635697635,-0.26666666666666666,0.3666666666666667,0.36363636363636365
5,0,frozen_encoder_logistic,64,84,22,0.41941616519015895,-0.18257418583505536,0.4083333333333333,0.38095238095238093
5,1,raw_logistic,43647,85,21,0.6211066882893508,-0.05504818825631803,0.4722222222222222,0.42105263157894735
5,1,pca_logistic,64,85,21,0.44015857055072743,-0.4403855060505442,0.2777777777777778,0.21052631578947367
5,1,frozen_encoder_logistic,64,85,21,0.4573260245086871,-0.027777777777777776,0.48611111111111116,0.47619047619047616
5,2,raw_logistic,43647,85,21,0.7122635207929325,0.14545454545454545,0.5727272727272728,0.5714285714285714
5,2,pca_logistic,64,85,21,0.6216180959563312,0.14545454545454545,0.5727272727272728,0.5714285714285714
5,2,frozen_encoder_logistic,64,85,21,0.6607159017453135,0.13762047064079508,0.5681818181818181,0.5263157894736842
5,3,raw_logistic,43647,85,21,0.45716521944592114,-0.2041241452319315,0.4027777777777778,0.25
5,3,pca_logistic,64,85,21,0.46109405300581774,0.0,0.5,0.375
5,3,frozen_encoder_logistic,64,85,21,0.6124338624338623,0.0,0.5,0.375
5,4,raw_logistic,43647,85,21,0.5289544717408494,0.03739787960033829,0.5181818181818182,0.4444444444444444
5,4,pca_logistic,64,85,21,0.5612029637029637,-0.06741998624632421,0.46818181818181814,0.35294117647058826
5,4,frozen_encoder_logistic,64,85,21,0.5545400076359828,-0.06741998624632421,0.46818181818181814,0.35294117647058826
6,0,raw_logistic,43647,84,22,0.642001326846528,0.26666666666666666,0.6333333333333333,0.6
6,0,pca_logistic,64,84,22,0.48638116785175606,0.18257418583505536,0.5916666666666667,0.5714285714285714
6,0,frozen_encoder_logistic,64,84,22,0.49443958818958816,0.20254787341673333,0.6,0.6086956521739131
6,1,raw_logistic,43647,85,21,0.5534478919773038,0.23636363636363636,0.6181818181818182,0.6
6,1,pca_logistic,64,85,21,0.5057371794871794,0.03015113445777636,0.5136363636363637,0.375
6,1,frozen_encoder_logistic,64,85,21,0.5681824659688436,-0.23636363636363636,0.38181818181818183,0.38095238095238093
6,2,raw_logistic,43647,85,21,0.5191198746023308,0.3042903097250923,0.6388888888888888,0.5333333333333333
6,2,pca_logistic,64,85,21,0.5377190710524044,0.11322770341445958,0.5555555555555556,0.47058823529411764
6,2,frozen_encoder_logistic,64,85,21,0.5417149208815875,-0.16666666666666666,0.41666666666666663,0.3333333333333333
6,3,raw_logistic,43647,85,21,0.41709125755565385,-0.05504818825631803,0.4727272727272727,0.42105263157894735
6,3,pca_logistic,64,85,21,0.3994435221641104,-0.2337367475021143,0.38636363636363635,0.43478260869565216
6,3,frozen_encoder_logistic,64,85,21,0.37283559276980327,-0.3302891295379082,0.33636363636363636,0.36363636363636365
6,4,raw_logistic,43647,85,21,0.5013686386235406,0.027777777777777776,0.5138888888888888,0.4444444444444444
6,4,pca_logistic,64,85,21,0.45268004412741253,-0.16666666666666666,0.41666666666666663,0.3333333333333333
6,4,frozen_encoder_logistic,64,85,21,0.4903651359533712,-0.16666666666666666,0.41666666666666663,0.3333333333333333
7,0,raw_logistic,43647,84,22,0.4792594007299889,0.26666666666666666,0.6333333333333333,0.6
7,0,pca_logistic,64,84,22,0.46942279942279946,0.016878989451394443,0.5083333333333333,0.5217391304347826
7,0,frozen_encoder_logistic,64,84,22,0.5246212121212122,0.16878989451394444,0.5833333333333333,0.5263157894736842
7,1,raw_logistic,43647,85,21,0.48459133459133463,-0.3347193406976015,0.3472222222222222,0.13333333333333333
7,1,pca_logistic,64,85,21,0.5474647266313932,0.2041241452319315,0.5972222222222222,0.5
7,1,frozen_encoder_logistic,64,85,21,0.6102513227513229,0.2222222222222222,0.6111111111111112,0.5555555555555556
7,2,raw_logistic,43647,85,21,0.41083722349202223,-0.1589409883014377,0.42272727272727273,0.3333333333333333
7,2,pca_logistic,64,85,21,0.5107926868453184,-0.06741998624632421,0.46818181818181814,0.35294117647058826
7,2,frozen_encoder_logistic,64,85,21,0.43591160387600014,-0.35527985620321373,0.32727272727272727,0.2222222222222222
7,3,raw_logistic,43647,85,21,0.45558719574199447,-0.5516187241049897,0.2318181818181818,0.1111111111111111
7,3,pca_logistic,64,85,21,0.3873688557744285,-0.18090680674665818,0.4181818181818182,0.25
7,3,frozen_encoder_logistic,64,85,21,0.46714494569757725,-0.13762047064079508,0.4318181818181818,0.45454545454545453
7,4,raw_logistic,43647,85,21,0.6044143583359269,0.11322770341445958,0.5555555555555556,0.47058823529411764
7,4,pca_logistic,64,85,21,0.5187189353856021,0.3611111111111111,0.6805555555555556,0.6666666666666666
7,4,frozen_encoder_logistic,64,85,21,0.4621509744316762,-0.28306925853614895,0.3611111111111111,0.23529411764705882
8,0,raw_logistic,43647,85,21,0.5308641975308641,-0.08492077756084468,0.45833333333333337,0.35294117647058826
8,0,pca_logistic,64,85,21,0.4956592871066555,-0.05504818825631803,0.4722222222222222,0.42105263157894735
8,0,frozen_encoder_logistic,64,85,21,0.4327445793132068,-0.05504818825631803,0.4722222222222222,0.42105263157894735
8,1,raw_logistic,43647,84,22,0.49736092339033516,-0.23162640965743445,0.3916666666666667,0.23529411764705882
8,1,pca_logistic,64,84,22,0.4614006878054866,-0.23162640965743445,0.3916666666666667,0.23529411764705882
8,1,frozen_encoder_logistic,64,84,22,0.45216394716394714,0.05590169943749474,0.525,0.375
8,2,raw_logistic,43647,85,21,0.466834510518721,0.045454545454545456,0.5227272727272727,0.5
8,2,pca_logistic,64,85,21,0.37722264663441135,-0.35527985620321373,0.32727272727272727,0.2222222222222222
8,2,frozen_encoder_logistic,64,85,21,0.522686305782281,-0.26967994498529685,0.3727272727272727,0.23529411764705882
8,3,raw_logistic,43647,85,21,0.5005109811069564,0.03015113445777636,0.5136363636363637,0.375
8,3,pca_logistic,64,85,21,0.5591040903540904,0.13483997249264842,0.5636363636363637,0.47058823529411764
8,3,frozen_encoder_logistic,64,85,21,0.5135667600373482,0.13762047064079508,0.5681818181818181,0.5263157894736842
8,4,raw_logistic,43647,85,21,0.38585443242305983,-0.027777777777777776,0.48611111111111116,0.47619047619047616
8,4,pca_logistic,64,85,21,0.4557994474661141,0.0,0.5,0.5217391304347826
8,4,frozen_encoder_logistic,64,85,21,0.4732565818350132,-0.027777777777777776,0.48611111111111116,0.47619047619047616
9,0,raw_logistic,43647,84,22,0.40373627920067545,-0.12076147288491199,0.44166666666666665,0.3333333333333333
9,0,pca_logistic,64,84,22,0.39065338256514726,-0.20254787341673333,0.4,0.3157894736842105
9,0,frozen_encoder_logistic,64,84,22,0.4431064515120242,-0.2833333333333333,0.35833333333333334,0.3
9,1,raw_logistic,43647,85,21,0.4384574814399376,-0.05504818825631803,0.4722222222222222,0.42105263157894735
9,1,pca_logistic,64,85,21,0.5365425844270013,0.08492077756084468,0.5416666666666666,0.5454545454545454
9,1,frozen_encoder_logistic,64,85,21,0.4338909637929246,-0.05504818825631803,0.4722222222222222,0.42105263157894735
9,2,raw_logistic,43647,85,21,0.6045479082321188,0.13762047064079508,0.5681818181818181,0.5263157894736842
9,2,pca_logistic,64,85,21,0.6318098129940235,0.05504818825631803,0.5272727272727272,0.5454545454545454
9,2,frozen_encoder_logistic,64,85,21,0.5104551004551005,-0.1589409883014377,0.42272727272727273,0.3333333333333333
9,3,raw_logistic,43647,85,21,0.5741791160908809,0.31137618438976383,0.6527777777777778,0.5882352941176471
9,3,pca_logistic,64,85,21,0.4948670238143923,-0.08492077756084468,0.45833333333333337,0.35294117647058826
9,3,frozen_encoder_logistic,64,85,21,0.579192420639789,-0.05504818825631803,0.4722222222222222,0.42105263157894735
9,4,raw_logistic,43647,85,21,0.4648366013071895,-0.11677484162422845,0.4590909090909091,0.15384615384615385
9,4,pca_logistic,64,85,21,0.391688596491228,-0.21968621277986813,0.41363636363636364,0.14285714285714285
9,4,frozen_encoder_logistic,64,85,21,0.4603006715506715,0.03739787960033829,0.5181818181818182,0.4444444444444444
